Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,MPN,Manufacturer,WVDC
C1,1,1uF,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,,,10
C2,1,2.2uF,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,,,16V
"C3,C4",2,470uF,,,,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,,,,25V
D1,1,5V,,,,LED_THT:LED_D3.0mm,,,,
D2,1,12V,,,,LED_THT:LED_D3.0mm,,,,
D3,1,-12V,,,,LED_THT:LED_D3.0mm,,,,
D4,1,-5V,,,,LED_THT:LED_D3.0mm,,,,
D5,1,US1A,,,,Diode_SMD:D_SMA,https://www.diodes.com/assets/Datasheets/ds16008.pdf,,,
F1,1,5V,,,,Fuse:Fuseholder_Blade_Mini_Keystone_3568,,,,
F2,1,12V,,,,Fuse:Fuseholder_Blade_Mini_Keystone_3568,,,,
J1,1,PICO PSU,,,,Connector_Molex:Molex_Mini-Fit_Jr_5569-24A2_2x12_P4.20mm_Horizontal,,39299243,Molex,
J2,1,APPLE MB,,,,Connector_Molex:Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,,39288060,Molex,
"R1,R4",2,1K,,,,Resistor_SMD:R_0805_2012Metric,,,,
"R2,R3",2,2.4K,,,,Resistor_SMD:R_0805_2012Metric,,,,
SW1,1,POWER,,,,a2psu:PN12SHSA03QE,,PN12SHSA03QE,C&K,
TP5,1,ON,,,,TestPoint:TestPoint_Pad_D2.0mm,,,,
U1,1,MC79M05,,,,Package_TO_SOT_SMD:TO-252-2,http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf,MC79M05CDTRKG,Onsemi,
